"","country","description","points","price","province","variety","latitude","longitude","cluster"
"2657","Italy","Belnero is a Sangiovese-based wine (with a tiny percentage of outside grapes) that shows loads of Montalcino typicity and elegance. If the rules governing Rosso di Montalcino are changed, those new wines might resemble Belnero.",90,39,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2658","Italy","Sassabruna is a Sangiovese-based wine with an added component of Syrah and Merlot that adds spice, consistency and fruitiness. Aromas here include red cherry, leather, black berry and vanilla bean.",90,25,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2659","Italy","Here's a fleshy, well-proportioned Chianti Classico with bright, jammy notes of cherry and blackberry backed by softer aromas of vanilla and spice. Smooth roundness is capped by firm structure.",90,25,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2660","Italy","This Riserva Chianti Classico opens with earthy, gritty aromas of forest floor, wild mushroom and deep, dark berry fruit. It shows a layered, sophisticated side of Sangiovese with lingering spice and cola on the close.",90,56,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2661","France","Round and softly fruity, this white Burgundy comes with a hint of vanilla. With its ripe apple, lime and yellow fruit flavors, it's instantly drinkable. The finish is touched by acidity.",84,23,"Burgundy","Chardonnay",47.0525047,4.3837215,2
"2662","New Zealand","Owned by the same Henri Bourgeois family that produces a dizzying array of Loire wines, this tastes a bit like a Loire wine. It's lean and tart in style, with barely ripe fruit that is accented by herbal notes and a crisp finish. Drink now.",84,18,"Marlborough","Pinot Noir",-41.57269,173.4216613,3
"2663","France","Soft and ripe, this Chablis has white fruit and citrus flavors. The palate reveals a yeasty character that intrudes on the fresh fruit.",84,40,"Burgundy","Chardonnay",47.0525047,4.3837215,2
"2664","New Zealand","Fully mature, this light- to medium-bodied wine shows an evolved color, modest cherry fruit and prominent notes of rusty iron and dusty earth. Drink now.",84,32,"Marlborough","Pinot Noir",-41.57269,173.4216613,3
"2665","Spain","Opens with unique, abnormal aromas of spiced fruit, cardamom and nutmeg. The palate is thick along the edges but lacks body in the middle, while flavors of red berry fruit are chunky, mildly stewy and roasted. Earthy and funky wine, but with good feel and overall good character.",87,27,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"2666","Austria","The most pure Riesling imaginable, with hedgerow flowers, white currants and waft after waft of fresh fruit. It's a vibrant, vivid wine, with a lift and total crispness. Screwcap.",89,35,"Kamptal","Riesling",48.585085,15.4126618,3
"2667","Argentina","Sweet black plum, licorice and anise aromas are soft yet nice. The palate, however, is more clacky, with jammy, reduced flavors of syrupy berry and sappy tannins. Jammy and saturated on the finish as well; tons of berry and size, but not perfectly balanced.",87,17,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"2668","Chile","Minerally, oceanic aromas of tangerine and sea air run into a palate that's clear, linear and tangy, with scouring acidity. Flavors of tangerine, lime and passion fruit finish citrusy but not too shearing or pushy. This will go well with shellfish.",89,17,"Leyda Valley","Sauvignon Blanc",-33.6131574,-71.4501843,3
"2669","Chile","Crisp aromas of grassy green fruits, cactus and nettle set up a standard palate, which for this wine means ripped and racy. Flavors of stone fruits, lime, passion fruit and bitter greens end lightly bitter, juicy and green.",89,20,"Casablanca Valley","Sauvignon Blanc",-33.3190376,-71.4076318,3
"2670","Spain","Mature smelling, with citrus peel, tobacco and molasses on the nose. The palate is a bit lean and acidic 10 years after harvest, with little expansiveness and driving, citrusy flavors of raspberry and red plum. Juicy but clampy on the finish.",87,30,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"2671","Italy","Terra Rossa Riserva is a bright, compact Sangiovese-based wine with aromas of ripe berry, moist earth and pipe tobacco. That earthy quality is nice, and suggests a pairing with whole-grain pasta with cheese.",87,26,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2672","Chile","Aromas of animal crackers, vanilla and tropical fruits are friendly. Feels fresh and offers acidic cut, while the flavor profile deals nothing but citrus and tropical fruits. Smooth, likable and overtly simple in nature.",87,10,"Colchagua Valley","Chardonnay",-34.6761419,-71.097317,2
"2673","France","Spicy edges and hints of heady white lily on the nose are bedded in soft, lemony freshness on the palate where a savory, salty note appears. There is concentration and purity, lip-smacking freshness but also glimpses of riper stone fruit. Lots is happening here; this is alive and probably still too young. Drink 2016–2020.",91,20,"Alsace","Riesling",48.3181795,7.4416241,4
"2674","New Zealand","Always dark in color and flavor profile, Craggy Range stays true to those traits with an excellent 2008 from its own Te Muna Road Vineyard. Hints of cocoa, dried herb and leather accent vibrant black cherry and plum flavors, while the tannins are silky and refined. Drink now–2015.",90,39,"Martinborough","Pinot Noir",-41.2190932,175.4600651,3
"2675","New Zealand","A pleasant surprise from this relatively young producer. The aromas and flavors are welcoming and complex, ranging from dried spices and botanicals through plummy, savory fruit, while the tannins are supple and the texture rich. Lingering black cherries and spice mark the finish. Drink now–2015.",90,23,"Nelson","Pinot Noir",-41.2706319,173.2839653,3
"2676","New Zealand","This estate's Old World roots (it is owned by Loire Valley-based Henri Bourgeois) show in this wine's restrained fruit and marginal ripeness. Notes of rhubarb and tomato leaf mark the nose, and the palate is lean and sinewy.",84,20,"Marlborough","Pinot Noir",-41.57269,173.4216613,3
"2677","New Zealand","From one of the region's pioneering producers, this is an entry-level bottling that manages to provide a glimpse into the Martinborough style. It favors leafy, savory elements over overt fruitiness, offering hints of sun-baked brick, bracken and cracked pepper that are layered over modest cherry fruit. Although silky in texture, it lacks length. Drink now.",84,24,"Martinborough","Pinot Noir",-41.2190932,175.4600651,3
"2678","New Zealand","Already showing appreciable bricking in color, this is an earthy, rooty style of Pinot Noir. It retains ample body, and it finishes slightly chunky and charred. Drink now.",83,32,"Marlborough","Pinot Noir",-41.57269,173.4216613,3
"2679","Australia","Expressive yet balanced, with pronounced cedar and cigar box scents that fold into a tight palate of toffee, raspberry and blueberry pie. There's a lingering boysenberry note on the mouthwatering finish. Great choice for game in a fruit sauce. Drinking well now but will keep several years.",87,18,"South Australia","Cabernet Sauvignon",-30.0002315,136.2091547,3
"2680","Italy","The wine opens with candy-like notes of butterscotch and caramel and is backed with thick saturation and extraction. It won't appeal to everyone—the wine is very dense and austere—but it does offer remarkable intensity.",86,31,"Lombardy","Chardonnay",45.4790671,9.8452433,2
"2681","Australia","Warm and welcoming, with roasted berries, blackberry pie and strawberry notes shot through with a refreshing herbal note, all of which rests on a carpet of plush tannins. Long berry finish. This charmer represents good value in the pricey Margaret River region. Try with roast lamb. Drink now or wait a year or two for more nuance.",89,16,"Western Australia","Cabernet Sauvignon",-27.6728168,121.6283098,3
"2682","Australia","Sophisticated scents of cut grass, wet stones and lemon garner points for subtlety. The palate, however, is more direct, with broad notes of peach and nectarine and a chalky texture. There's a drawn-out, deliciously cherry-berry finish that leaves you wanting just one more sip. Drink now, with roasted cod.",89,16,"South Australia","Sauvignon Blanc",-30.0002315,136.2091547,3
"2683","France","The fruity treasures still tightly held within the core of this stony Riesling are just hinted at—but spiced apple and layers of tangy citrus are definitely present. There is a lightness of touch, lovely dryness and slender elegance. With a little time in the glass those flavors unfold. Pay attention and enjoy.",91,21,"Alsace","Riesling",48.3181795,7.4416241,4
"2684","Portugal","A wine that emphasizes the black currant acidity and firm tannins of Cabernet Sauvignon. The fruit layers acidity, wood and some herbs. Age for another year.",87,10,"Lisboa","Cabernet Sauvignon",38.7222524,-9.1393366,3
"2685","Spain","Mildly rubbery but full on the nose, with leafy accents and raspberry aromas. Feels full, round and dense, with roasted berry and distant spice on the flavor profile. More straightforward than fancy, with good overall feel, flavor and balance.",87,16,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"2686","Chile","Earthy berry and light oak aromas are a nice greeting. Feels full and balanced, with a solid texture and lively acidity. Flavors of lightly herbal and oaky plum and blackberry are good, and on the finish there's a note of olive, chocolate and wood dust.",87,12,"Colchagua Valley","Malbec",-34.6761419,-71.097317,3
"2687","France","A wine with great color, attractive smoky and red fruit flavors and a touch of tannin. It has a good structure as well, reflecting wood aging as well as fine fruit. Drink from 2016.",89,40,"Loire Valley","Pinot Noir",47.5532402,1.0105289,4
"2688","Australia","Lovely dessert-style Riesling at an extremely attractive price. It yields dried apricot aromas, then turns to honeyed marmalade in the mouth, just loaded with orange-apricot preserves. It's weighty and viscous, with a long, sweet finish. Should last through at least 2016.",94,19,"South Australia","Riesling",-30.0002315,136.2091547,3
"2689","Italy",". There's a compact, traditional characteristic here that gives this wine smooth, sophisticated appeal. Aromas include white cherry, dried raspberry, tar, licorice and root beer. Twenty percent Malvasia Nera is added to the blend.",90,169,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2690","Italy","With 20% Merlot and Cabernet Sauvignon added to the blend, Ser Gioveto shows impressive density and staying power as well as ripe, chewy fruit aromas. It boasts a big, masculine style that would stand up to roast beef or meatloaf.",90,52,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2691","Spain","Dry, spicy and earthy on the nose, with Boston baked bean aromas and candied berry fruit notes. The palate has good spunk and life to it, while the flavors of berry fruit are controlled and modest but heavily spiced. Finishes with cinnamon, nutmeg and fruit cake notes along with a final wave of balancing acidity. Drink now.",89,20,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"2692","Australia","Bright and aromatic, with intense tropical fruit and a markedly full body. The luxurious texture seems to be just the right vehicle for the exotic expression of guava, kiwi and mango fruit that carry over to the flavorful (if short) finish. Try with grilled salmon. Drink now.",86,15,"South Australia","Chardonnay",-30.0002315,136.2091547,2
"2693","Australia","A subtle expression, with quince scents gaining the upper hand over lime, peach and lanolin. The palate turns to caramel, vanilla and Asian spice while some hints of stone fruit pop up on the short-to-medium finish. Try with swordfish. Drink now.",86,13,"South Australia","Chardonnay",-30.0002315,136.2091547,2
"2694","New Zealand","This relatively lightweight Pinot Noir features an array of meaty, earthy notes and a modest pie-cherry flavor before drying out and turning even more tart on the finish. Drink now.",82,28,"Marlborough","Pinot Noir",-41.57269,173.4216613,3
"2695","Argentina","With a nice opening of plum, black cherry, floral notes and mocha, this captures the essence of quality Mendoza Malbec. The palate is generous and round, if a bit warm, and the flavors of blackberry, prune, spice and coffee are what we want from this type of wine. Drink throughout the winter and into 2010.",88,10,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"2696","Chile","Good Chilean Chard with sweet, honeyed aromas that are pleasantly dusty and include apple and peach. The smooth palate has apple as a core flavor, while nectarine and barrel notes are present as well. Long and full on the finish; not world class but elevated if measured by local standards.",88,18,"Bío Bío Valley","Chardonnay",-36.9777206,-72.331113,2
"2697","Italy","This is a full and luminous white wine (made with Chardonnay) that boasts a lively and vibrant character. A pleasure to drink, the wine is redolent of stone fruit, citrus, white stone and almond nut.",88,61,"Lombardy","Chardonnay",45.4790671,9.8452433,2
"2698","Argentina","Fully roasted, leathery and meaty on the nose, but there's also coffee, mocha and late-coming berry fruit. The palate is saturated, oily and pure, with a good mouthfeel and flavors of dark berry fruit and chocolate. Toasty and lightly burnt on the finish.",88,16,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"2699","France","Still firm, this wine is dominated by tannin and dark fruit, with a dry core typical of this Pommard vineyard. The red and dark plum-fruit flavors are developing slowly and the wine needs time to balance. Drink from 2019.",91,109,"Burgundy","Pinot Noir",47.0525047,4.3837215,4
"2700","France","Taut and zesty, lip-smacking and dry: this Riesling is a successful combination of grapefruit and lemon, of zest and flesh. The dry finish makes the lemony qualities of this dry wine even more appealing. Serve this on a hot day.",91,27,"Alsace","Riesling",48.3181795,7.4416241,4
"2701","Argentina","Starts out with some heaviness and aromas of fresh cement and lacquer. With airing it improves, revealing a high-acid, fresh palate with raspberry, saline and herbal flavors. Roasted and firm on the finish, with a bit of excess heat.",86,15,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"2702","New Zealand","Plummy and dark, with accents of cedar, dark chocolate and hints of coffee. This is always the most robust of the Felton Road Pinots, and really deserves a few years in the cellar; although it's approachable now, expect the already soft tannins to turn silkier in time.",93,79,"Central Otago","Pinot Noir",-44.9566315,169.3988451,3
"2703","France","With its rich texture from aging on the lees, this is a Sauvignon Blanc that goes more to the tropical and pineapple fruit direction. It has refreshing acidity along with weight and concentration. The lemon acidity kicks in in the aftertaste.",87,19,"Bordeaux","Sauvignon Blanc",44.837789,-0.57918,4
"2704","Chile","Solid and sturdy up front, with earthy berry and cassis aromas. Feels lively and a bit grabby, with plenty of red fruit in the plum and berry range. Finishes with a hint of smoky oak and toast. A good wine from a cool vintage.",87,11,"Colchagua Valley","Cabernet Sauvignon",-34.6761419,-71.097317,3
"2705","Spain","Red fruit aromas are matched by mild wood spice and rubber in front of a crisp, solid palate that's tasting spicy, peppery and dry, with red fruit flavors taking over after the spice subsides. Smoky, dry and plummy on the finish.",87,16,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"2706","Chile","Oceanic and crisp smelling, with green apple, citrus and light oak on the nose. Has roundness and weight, but juiciness as well. Tastes a touch sweet and syrupy, with tropical fruit flavors. Chunky and a little sticky on the finish despite boasting a solid acid level.",87,17,"Aconcagua Valley","Chardonnay",-32.653179,-70.0108675,2
"2707","France","A crisp, fresh and creamy wine, it has grapefruit acidity and a firm sense of mineral structure. The wine is developing well, but to bring out its balance between fruit and texture, it needs until 2015 in bottle.",89,26,"Loire Valley","Sauvignon Blanc",47.5532402,1.0105289,4
"2708","Portugal","This full-bodied wine is rich with tropical fruit as well as a more citrus character. It's ripe, packed with apples, apricots and then cut with acidity. There is a cool, fresh aftertaste.",88,11,"Lisboa","Chardonnay",38.7222524,-9.1393366,2
"2709","Chile","A very pleasant, well-made SB with green melon, green apple, bell pepper and minerality on the bouquet. This wine captures the essence of Casablanca via citrus, apple, grass and minerally flavors that dance on a crisp bed of fine acidity. Long and uncompromised on the finish.",89,13,"Casablanca Valley","Sauvignon Blanc",-33.3190376,-71.4076318,3
"2710","Italy","Here's a bright and tonic Riserva Chianti (made with Sangiovese and smaller percentages of Colorino and Merlot) that opens with bright aromas of forest berry, river stone and dark chocolate. The wine offers good freshness and soft, tame tannins.",89,23,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2711","New Zealand","The 2009 vintage is shaping up to be a good one for Martinborough Pinot Noir, and this bottling is nicely priced for the quality. It's herbal, spicy, floral and savory all at once on the nose, then delivers soft waves of dark cherries on the palate. Drink now–2016.",89,20,"Martinborough","Pinot Noir",-41.2190932,175.4600651,3
"2712","Australia","High-toned yet refreshing, offering up petroleum, cat pee and mineral scents before releasing gooseberry and lime flavors in the mouth. Light-bodied, with a slightly clipped finish of quince. Drink now.",86,17,"South Australia","Sauvignon Blanc",-30.0002315,136.2091547,3
"2713","France","Using fruit sourced from a single vineyard with great sun exposure, this wine takes its name from the stony soil. It provides great balance between the dense black fruit and the taut, minerally texture, expressing the essence of Malbec in Cahors. It certainly needs several years of aging.",95,25,"Southwest France","Malbec",46.227638,2.213749,4
"2714","France","This is a taut, dense and minerally wine that's packed with as much tannin as black currant fruit. The structure and layers of acidity demand long-term aging.",94,25,"Southwest France","Malbec",46.227638,2.213749,4
"2715","Australia","Exceptionally intense, this is a wine for real aficionados of Australian Riesling. Stone and gravel tango with aromas of lime juice and coconut, all of which is underscored by a firm minerality. Long, dry finish. Delicious. Try with pork in a mustard sauce.",88,16,"South Australia","Riesling",-30.0002315,136.2091547,3
"2716","Argentina","Extravagantly floral on the nose, with blueberry, mineral and other particular aromas. But once you hit the palate, the acidity is extreme and thus the mouthfeel is sheering. Flavors of blueberry and mulberry are tangy, while the finish is angular. Too sharp and tangy to compete with the best, including Altamira and Bella Vista, Achaval-Ferrer's other single-vineyard big boys.",88,112,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"2717","Chile","Full and stocky on the nose, with a mild pine and juniper accent. The palate features good feel and thickness, while the raspberry and plum flavors are complete and juicy. Dry and spicy on the finish, and correct within the global pool of Pinot Noir.",88,15,"Bío Bío Valley","Pinot Noir",-36.9777206,-72.331113,3
"2718","France","Crisp and intense, this is all about herbaceous textures and pink grapefruit flavors. It is just on the edge of tartness in its acidity, just escaping because of its great fruitiness. It needs to calm down until late 2014.",88,30,"Loire Valley","Sauvignon Blanc",47.5532402,1.0105289,4
"2719","Italy","This well-priced Sangiovese (with a bit of Merlot for extra softness) opens with brambly notes of forest floor and white mushroom backed by cassis and blueberry. It's meant to be an informal, food-friendly wine and it certainly delivers the goods.",87,14,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2720","Australia","A lean, crisp style of Chardonnay, with citrusy flavors and a touch of honeyed development. Drink it over the next few months.",87,20,"South Australia","Chardonnay",-30.0002315,136.2091547,2
"2721","Italy","Genius Loci is an elegant and linear Sangiovese that opens with oaky notes of exotic spice and vanilla followed by cherry, raspberry and pressed blue flower. It's clean and crisp in the mouth with a long, but not overly dense or rich texture.",89,23,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2722","Chile","Plump and honeyed on the nose, with papaya, mustard seed and other drier, less opulent white fruit notes. The palate has an oaky, resiny feel along with woody, spicy flavors of baked apple, citrus and tropical fruit. Overall this is a very nice, top-level Chilean Chard but one that's oaky and smells and tastes like it.",89,26,"San Antonio","Chardonnay",-33.5922807,-71.6055123,2
"2723","Australia","Fresh apple and hay scents set the stage for a refreshing expression of citrus fruit on the creamy palate. This wine's got decent acidity and pistachio, walnut and sour candy flavors that combine harmoniously on the finish. Very tasty. Drink now.",86,11,"Australia Other","Chardonnay",-25.274398,133.775136,2
"2724","New Zealand","Pretty oaky stuff, with scents of freshly sawn cedar leading the way. There is a pleasant creaminess to the texture and the cranberry fruit does come through on the finish, so there are things to like besides the barrel treatment.",86,30,"Central Otago","Pinot Noir",-44.9566315,169.3988451,3
"2725","Spain","Nice, simple and fruity, with nothing but standard raspberry fruit and good mouthfeel up its sleeve. The palate is narrow and juicy, while the flavor profile rests on one level: raspberry. Clean and quick on the finish. Perfectly respectable for a $10 Ribera wine.",86,10,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"2726","France","One of the two top wines from Cèdre, this selection is named after the cedar tree in the winery's courtyard. It's elegant and powerful, and its weight comes from the firm tannins, sweet fruits and fresh acids. The structure is present, but it's the ripe fruit that is seductive. Age this for many years.",94,60,"Southwest France","Malbec",46.227638,2.213749,4
"2727","France","Made using fruit sourced from the high-elevation Haute-Serre estate, this wine is surprisingly elegant despite the high alcohol. It has a fresh blackberry flavor, with acidity that's balanced by the stewed-fruit richness. The tarry texture and firm tannins all promise long-term aging.",93,140,"Southwest France","Malbec",46.227638,2.213749,4
"2728","Chile","Round, ripe and pure, with olive, blackberry and a dusting of herbs. For the money this is a satisfying Cabernet with a firm but solid mouthfeel and flavors of cola, berry syrup and cassis. Creamy and semisweet on the finish, but not cloying or candied. Well made and a good value.",88,10,"Central Valley","Cabernet Sauvignon",-36,-72,3
"2729","Chile","Savory, minty, foresty and showing its own style and personality. Not a generic Syrah; there's leather, fir tree and berry aromas, and then a large, mouthfilling palate full of savory, herbal berry flavors accented by oak and BBQ notes. Hard to peg as varietal Syrah but definitely a good wine with character.",87,12,"Elqui Valley","Syrah",-30.1574117,-70.4969608,3
"2730","Argentina","Fully roasted and savory in its aromas, with rubber and a peanutty hardness to the bouquet. Full and forward in the mouth, with a round body and a glaring streak of sharp acids running through the palate. Plum, berry and leather flavors are good, while the finish is peppy and zesty.",87,19,"Mendoza Province","Malbec",-32.8896247,-68.8526867,3
"2731","France","With its dark color and rich fruit, this is a powerful wine. It is jammy in its character, although acidity and wood also play a part. At the end, the acidity comes to dominate.",86,20,"Bordeaux","Merlot",44.837789,-0.57918,4
"2732","Chile","Generally clean raspberry aromas carry a note of spice and pine. There's oaky weight to the palate, which tastes toasty and on the dark side. The wine features a resiny grip and some grab, and it's chocolaty on the finish.",86,13,"Central Valley","Pinot Noir",-36,-72,3
"2733","Chile","Wet and citrusy smelling, with a touch of toasty oak. Good and medium-bodied on the palate, with decent acidity and balance. Tastes like spiced apple and melon, with vanilla and mild woodspice on the finish. Well done for under $10.",86,9,"Curicó Valley","Chardonnay",-34.9859489,-71.2417746,2
"2734","France","How good to find a powerful wine like this with reasonable alcohol. For this is an impressively dense and concentrated wine from 50-year-old vines. The fruit is ripe, juicy and chunky to go with the polished wood. A wine for cellaring.",92,85,"Southwest France","Malbec",46.227638,2.213749,4
"2735","Chile","Green aromas of lime and gooseberry are true to the winery, region and variety. This is round and not overly chiseled or cutting. Flavors of green fruits, passion fruit and lychee finish green, with hints of asparagus and bell pepper.",88,17,"Casablanca Valley","Sauvignon Blanc",-33.3190376,-71.4076318,3
"2736","Chile","Secure, spicy, dry and woody on the nose, it's firm, fresh and collected on the palate. Flavors of loamy berry and cocoa finish earthy and solid, with balance and length. This offers almost all you want from Chilean Cab priced under $20.",88,18,"Aconcagua Valley","Cabernet Sauvignon",-32.653179,-70.0108675,3
"2737","Spain","Shows some meat and heft on the nose along with leather, rubber and black fruit. Solid and generic across the palate, with black cherry and berry flavors that are good and steady. Finishes slightly short and bitter, but overall it's a good wine for basic drinking.",86,12,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"2738","Spain","Opens with earthy, slightly raisiny aromas along with mint, fresh grass and clay. The palate feels clanky and tannic, while the flavors of strawberry and herbal raspberry are good but bland. Shows its share of good components, but overall the wine struggles to distinguish itself among Rioja's top performers.",86,26,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"2739","Australia","An interesting combination of lean cut grass aromas and riper tones of candied apple and watermelon. There's good intensity in the mouth and lingering notes of passion fruit and citrus on the medium finish. Drink up.",86,17,"Western Australia","Sauvignon Blanc",-27.6728168,121.6283098,3
"2740","Italy","This youthful and fruit-forward Chianti Classico is balanced and fresh with bright berry and raspberry aromas that give it a cheerful, bright personality. The wine is fresh and zesty on the close and would pair with creamy vegetable risotto.",89,30,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2741","New Zealand","This is a full-bodied wine with completely soft tannins and relatively high (14.9%) alcohol, which impart a round, ample feel in the mouth. Lush cherry fruit is complemented by hints of beet greens and slightly bitter coffee or chocolate. Drink now and over the next few years.",89,50,"Martinborough","Pinot Noir",-41.2190932,175.4600651,3
"2742","France","A ripe, wood-aged wine, this has a wood element that's intensely spicy and toasty. The weight of the sweet plum fruit and tannins are equally powerful and concentrated. A selection of the best of Château Leret Monpezat, this will need at least five years of aging before it should be touched.",93,130,"Southwest France","Malbec",46.227638,2.213749,4
"2743","France","Using fruit sourced from old, low-yielding vines, this is black in color and in taste, with ripe black-plum and licorice flavors that show toasty wood influence. Although the wine's name translates to “pure pleasure,” the true pleasure will be revealed in five years when it will become opulent and powerful.",93,55,"Southwest France","Malbec",46.227638,2.213749,4
"2744","Australia","This is a sweet take on the typically dry Australian style of Riesling. The nose is sexy and decadent with aromas of cherry, baby powder and sweat that lead to a mouthwatering palate of lemon and lemonade. Medium, peachy finish. Drink on its own or with cheese.",87,20,"South Australia","Riesling",-30.0002315,136.2091547,3
"2745","Argentina","Raspberry and plum aromas bring a mild leafy, leathery accent. The palate is saturated and grippy, with sweet brown sugar, raisin and chocolate flavors. Solid, warm and tasty, with baked berry, weight and sweetness to the finish.",87,23,"Mendoza Province","Cabernet Sauvignon",-32.8896247,-68.8526867,3
"2746","France","This rich, creamy, juicy wine is full of strawberry fruits and ripe tannins. It has weight and density as well as powerful structure. A fresh black-cherry character comes through, giving acidity and a perfumed aftertaste. Drink from 2017.",90,45,"Burgundy","Pinot Noir",47.0525047,4.3837215,4
"2747","New Zealand","Despite being labeled at 13% alcohol, this comes across as reasonably light in weight. Pleasantly dry in flavor, it boasts hints of citrus and wet stone. A silky feel marks the long, crisp finish.",90,34,"Central Otago","Riesling",-44.9566315,169.3988451,3
"2748","France","Lemon purity and an idea of wet stones shows slight, pleasant texture around a central seam of lemon zest freshness. There is a lightness of touch, a convincing dryness and a breezy freshness about this no-nonsense Riesling.",90,30,"Alsace","Riesling",48.3181795,7.4416241,4
"2749","Italy","Easy-drinking, fresh and informal, this bright Rosso di Montepulciano would pair perfectly with wild mushroom risotto or potato gnocchi. There's tight acidity, backed by cherry and raspberry.",86,15,"Tuscany","Sangiovese",43.7710513,11.2486208,3
"2750","Spain","Scratchy and a little sharp smelling on first impression, with vanilla and milk chocolate aromas in addition to standard red fruit scents. Feels firm, solid and basic, with dark fruit flavors touched up by young, simple oak notes. Standard and dry on the finish.",86,15,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"2751","Chile","Sweet aromas of wet clay and latex give way to spicecake and standard berry and cassis. Feels layered and round, with good density and balance to go with berry, cassis and mild herbal flavors. Holds steady on the finish. A regular but solid Cab for everyday purposes.",86,11,"Maipo Valley","Cabernet Sauvignon",-33.444962,-70.648283,3
"2752","Chile","If you want a crisp and clear Chardonnay, then you can do much worse than this cutting, fresh wine. Starts out with neutral pear and apple aromas, which are backed by pithy green melon and nectarine flavors. Fresh on the finish, with juicy acidity. Very straightforward.",86,9,"Curicó Valley","Chardonnay",-34.9859489,-71.2417746,2
"2753","Australia","A rich, amply endowed Clare Riesling, with potent lime aromas accented by touches of petrol, plenty of flavor intensity and a long finish composed of citrus and spice. Hints of baked apple and petrol suggest it may not be the longest-lived Riesling, but it's delicious now and should be good for another five years or so.",91,26,"South Australia","Riesling",-30.0002315,136.2091547,3
"2754","Australia","Slightly minty on the nose, balanced by bold cassis fruit, plenty of weight and rich tannins that give the wine an almost chewy texture. Long, firm and a touch warm on the finish; drink now–2020.",91,25,"South Australia","Cabernet Sauvignon",-30.0002315,136.2091547,3
"2755","Spain","Condensed, syrupy cherry aromas are a little candied, while the palate is acidic and angular, with juicy, tomatoey cherry and plum flavors. Fairly tight and lean in the mouth, with just enough oak to create a mocha/cocoa accent on the finish. For the price, there isn't much body, variety of flavor or pleasantries.",85,37,"Northern Spain","Tempranillo",43.2691164,-4.2500792,1
"2756","Australia","Fresh and honest, this unoaked Chard has got a zingy lemon theme that permeates nose, palate and finish. Medium-bodied and crisp, an excellent choice for flounder in a lemon sauce. Drink now.",85,18,"South Australia","Chardonnay",-30.0002315,136.2091547,2
"2757","Chile","Passion fruit and canned pea aromas are typical of Leyda, especially in a cool year like 2013. This is consistent on the palate, with zesty acidity. Flavors of passion fruit, mango, lime and green herbs finish citrusy and fresh.",88,18,"Leyda Valley","Sauvignon Blanc",-33.6131574,-71.4501843,3
"2758","Austria","The allure of ripe but zingy passion fruit proves almost irresistible. Juicy and plump, the palate is saved by citrus freshness. Tropical fruit rules and makes for immense, easy pleasure.",88,20,"Carnuntum","Sauvignon Blanc",48.113326,16.861693,3
"2759","New Zealand","One of few Kiwi Pinots typically worth cellaring, Neudorf's 2008 Moutere bottling comes across as a bit oaky, with menthol and cedar notes forming a tight overlay to the cherry fruit. Tannins are silky yet firm, suggesting the wine will be at its best 2012–2018.",89,48,"Nelson","Pinot Noir",-41.2706319,173.2839653,3
"2760","Chile","Santa Helena has moved to the Colchagua Coast for its SB, and the results are impressive. This wine is pungent, cool and citrusy, with grapefruit, mineral, saline and fresh asparagus on the nose and palate. It's slightly sheering and lemony but honest and snappy to the max. Tangy late and very nice overall.",89,11,"Colchagua Valley","Sauvignon Blanc",-34.6761419,-71.097317,3
"2761","New Zealand","This is showing a fair amount of oak influence at the moment, with smoky notes of cedar, mocha and brown sugar riding atop dark fruit flavors. Yet it's supple and attractive, with a silky mouthfeel and a lingering finish. Drink it over the next several years.",89,43,"Waipara Valley","Pinot Noir",-43.076058,172.704133,3
"2762","New Zealand","Effusive scents of passion fruit leap from the glass, but the flavors are more subtle, less over the top. Grapefruit notes with herbal shadings are easygoing and should be reasonably versatile at the table. Fresh and lively on the finish, but drink up over the next few months.",89,18,"Marlborough","Sauvignon Blanc",-41.57269,173.4216613,3
